Section,Mass,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Compression_Class_S355,Compression_Class_S460
UB 254 x 146 x 43,43,259.6,147.3,7.2,12.7,8,234.2,218.2,5480,1.08,65500000,504600,566.9,109,2035,6773000,91970,141100,35000,41,240200,1.03E+11,1,1,2,4
UB 254 x 146 x 37,37,256,146.4,6.3,10.9,8,234.2,218.2,4720,1.071,55430000,433100,483.8,108,1773,5706000,77950,119400,34000,37,154300,85610000000,1,1,4,4
UB 254 x 146 x 31,31.1,251.4,146.1,6,8.6,8,234.2,218.2,3970,1.061,44200000,351600,393.6,105,1649,4475000,61260,94150,33000,32,86290,65870000000,1,3,4,4
UB 254 x 102 x 28,28.3,260.4,102.2,6.3,10,8,240.4,224.4,3610,0.903,40120000,308100,353.4,105,1792,1785000,34940,54880,22000,35,96650,27880000000,1,1,4,4
UB 254 x 102 x 25,25.2,257.2,101.9,6,8.4,8,240.4,224.4,3200,0.896,34210000,266000,306.1,103,1682,1487000,29180,46030,21000,32,64950,22920000000,1,1,4,4
UB 254 x 102 x 22,22,254,101.6,5.7,6.8,8,240.4,224.4,2800,0.889,28480000,224200,259.6,100,1572,1193000,23490,37300,20000,28,42030,18150000000,1,1,4,4
UB 203 x 133 x 30,30,206.8,133.9,6.4,9.6,8,187.6,171.6,3820,0.923,29000000,280400,314.8,87,1470,3846000,57450,88250,31000,34,103900,37340000000,1,1,1,2
UB 203 x 133 x 25,25.1,203.2,133.2,5.7,7.8,8,187.6,171.6,3200,0.914,23440000,230700,258.2,85,1293,3076000,46190,70970,30000,30,60320,29320000000,1,2,2,4
UB 203 x 102 x 23,23.1,203.2,101.8,5.4,9.3,8,184.6,168.6,2940,0.789,21090000,207500,234.5,84,1250,1638000,32190,49780,23000,33,70990,15360000000,1,1,3,4
UB 178 x 102 x 19,19,177.8,101.2,4.8,7.9,8,162,146,2430,0.737,13590000,152800,171.6,74,996.8,1367000,27020,41610,23000,29,44710,9847000000,1,1,2,4
UB 152 x 89 x 16,16,152.4,88.7,4.5,7.7,8,137,121,2030,0.637,8365000,109700,123.6,64,829.2,897600,20240,31200,20000,29,36190,4687000000,1,1,2,2
UB 127 x 76 x 13,13,127,76,4,7.6,8,111.8,95.8,1650,0.536,4749000,74790,84.43,53,654.1,557500,14670,22600,18000,28,29060,1981000000,1,1,1,2
